"orf_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast","gene_systematic_name"
"chr1_143170",5.53504032355403,0.0331163375747374,0.0328870028929263,1.019294454818,0.308063195762796,NA,"WT_vs_DEL","X"
"chr1_143707",1478.57046338922,-0.0581108741791861,0.0537625390052927,-1.08090297593695,0.279740274732629,0.614909966590726,"WT_vs_DEL","YAL002W"
"chr1_147594",1846.72427368191,-0.0503126187361766,0.0498252875208325,-1.00977340712855,0.3126038636073,0.640629667911107,"WT_vs_DEL","X"
"chr1_152257",506.390741953353,-0.0263794899202504,0.0683362379979192,-0.38603196050511,0.699472998876568,0.889497680325901,"WT_vs_DEL","YAR002W"
"chr1_154065",685.878334950659,0.0719889691497289,0.0647223519118359,1.11217882516185,0.266061270336329,0.602049578323677,"WT_vs_DEL","YAR002C-A"
"chr1_155005",219.662078308868,0.0163957749390848,0.080717554217186,0.20318270026407,0.838992234003015,0.943396545330202,"WT_vs_DEL","YAR003W"
"chr1_156754",1104.70096724896,-0.0516647269651512,0.0549578791835501,-0.940105204569866,0.347163599441142,0.666825849953727,"WT_vs_DEL","YAR007C"
"chr1_158891",96.944556119445,0.0276999282737155,0.0806379498647239,0.343520747406324,0.731206735221139,0.903808316450097,"WT_vs_DEL","X"
"chr1_160597",563153.659550462,-0.117456655619835,0.0339745218815345,-3.45719828279359,0.000545823074574383,0.008750082020853,"WT_vs_DEL","YAR009C"
"chr1_16236",3.23178023648878,0.00187465053178907,0.0256973630090313,0.0725863596505645,0.942135281507256,NA,"WT_vs_DEL","X"
"chr1_164544",125491.890506917,-0.208943476190993,0.0334573550567298,-6.24507204376305,4.23604820535523e-10,2.62036416703007e-08,"WT_vs_DEL","YAR010C"
"chr1_166742",821.025662070194,0.0193286303358188,0.0615796494524742,0.313865095426544,0.753623501532929,0.910975222434983,"WT_vs_DEL","YAR014C"
"chr1_16933",6.32839968709084,-0.00489965748988472,0.0358732993192397,-0.13672041128627,0.891251795161994,NA,"WT_vs_DEL","X"
"chr1_169375",972.287115343287,-0.149876623127436,0.0623281223726388,-2.40445080829911,0.0161967859077057,0.111189274548556,"WT_vs_DEL","YAR015W"
"chr1_170396",265.610002218891,0.205991532266685,0.0778564113738539,2.64386444199618,0.00819654750597316,0.0695179610379929,"WT_vs_DEL","YAR018C"
"chr1_172211",855.776956897967,-0.17095444830308,0.0596707745958585,-2.86510866963184,0.00416866159471816,0.0427456813252992,"WT_vs_DEL","YAR019C"
"chr1_17455",37.3023872452657,0.0210112984649899,0.0690036000094515,0.304587903478914,0.760680034144436,0.91377546183622,"WT_vs_DEL","X"
"chr1_175369",7.89355183258219,0.014446177580497,0.0385675815355198,0.375195838581146,0.707514824855526,NA,"WT_vs_DEL","X"
"chr1_175430",3.97128554397251,0.0326044770545547,0.0287282076785021,1.15343685630086,0.248731121038156,NA,"WT_vs_DEL","X"
"chr1_175563",12.6635284403761,-0.00198648381058343,0.0458641087677949,-0.0431389420411403,0.965590776919208,NA,"WT_vs_DEL","X"
"chr1_176856",7.97146400874245,-0.0422864623201004,0.0395108689453916,-1.07487901253064,0.282428899462854,NA,"WT_vs_DEL","YAR020C"
"chr1_178146",6.2271794134081,-0.0117607824516386,0.0347689834671033,-0.337085134911582,0.736052722968107,NA,"WT_vs_DEL","X"
"chr1_17905",23.0213171890526,0.0150727406883682,0.0595724904154859,0.253382746448156,0.799972459069159,NA,"WT_vs_DEL","X"
"chr1_179281",92.5058988789216,-0.0355906291616531,0.0806905080324778,-0.441357210871768,0.658954414271983,0.870095028218527,"WT_vs_DEL","YAR023C"
"chr1_180103",3.09605900903288,-0.0094280148686503,0.0249785093729337,-0.375576760294168,0.707231570555269,NA,"WT_vs_DEL","X"
"chr1_180453",5.1680594169546,0.00370421462853834,0.0322371862398618,0.114467034693988,0.908867577105028,NA,"WT_vs_DEL","X"
"chr1_183200",18.9625534625838,-0.015023486290718,0.0551125208807975,-0.27279339194494,0.785012039449421,NA,"WT_vs_DEL","X"
"chr1_183770",859.308860386926,0.0428985587737808,0.0591953548621918,0.724667081362617,0.468656294765983,0.756845338681387,"WT_vs_DEL","YAR027W"
"chr1_184892",112.612075317443,0.0393927053991091,0.0815614145748548,0.48259390646758,0.629384106603027,0.854396760118711,"WT_vs_DEL","YAR028W"
"chr1_185968",13.5783063742511,-0.0168883022170721,0.0469882215974319,-0.360070772120758,0.718794209345233,NA,"WT_vs_DEL","X"
"chr1_186321",23.7763825532945,-0.0684231199044782,0.0604807683639498,-1.13207214811512,0.257604103213071,NA,"WT_vs_DEL","YAR029W"
"chr1_186512",13.0997396300315,-0.0459999116496427,0.0476600950143175,-0.96654518484633,0.333771448336551,NA,"WT_vs_DEL","YAR030C"
"chr1_186836",37.9598061443863,0.0833769048181173,0.0688675085425,1.21153889492228,0.225688937322801,0.556497288693266,"WT_vs_DEL","YAR031W"
"chr1_188107",78.9939107216447,-0.0423766587808692,0.0787864007195359,-0.537829473547093,0.590694782015746,0.833835806483765,"WT_vs_DEL","YAR033W"
"chr1_188822",12.8346696520333,0.0139361338306128,0.0471782070387045,0.296522987861305,0.766830714132221,NA,"WT_vs_DEL","X"
"chr1_189473",3.39612837679423,0.0271078427475768,0.0266908213752854,1.03515178049936,0.300598033700189,NA,"WT_vs_DEL","X"
"chr1_189816",4.2650640502527,0.0219071716633441,0.0292737379137875,0.755924765693022,0.449694304463081,NA,"WT_vs_DEL","X"
"chr1_190193",40430.3010998937,-0.192669922048005,0.0402713364604819,-4.7843090082069,1.71576554832061e-06,5.62028904451489e-05,"WT_vs_DEL","YAR035W"
"chr1_192619",3561.06025185223,0.0227138148202166,0.0390668783138647,0.581403620385673,0.560968458008808,0.819976746184199,"WT_vs_DEL","YAR042W"
"chr1_196817",14.4638871333098,-0.0435765762267167,0.0488959927876794,-0.893224842931838,0.371736776724585,NA,"WT_vs_DEL","X"
"chr1_196976",16.9894807423876,-0.0517196894795805,0.0525980049148306,-0.981285843897001,0.326451801619855,NA,"WT_vs_DEL","X"
"chr1_197213",5.32053637004243,0.0311967186561829,0.0327199075458611,0.96036455050052,0.336871772898076,NA,"WT_vs_DEL","X"
"chr1_198659",2.70304074365834,-0.00399387049457477,0.0233859626567639,-0.171424156369664,0.863890261869786,NA,"WT_vs_DEL","X"
"chr1_199578",13.3113879023825,-0.0110420526728243,0.0484614108294107,-0.228019634844202,0.819630976170131,NA,"WT_vs_DEL","X"
"chr1_200946",5.77409055480631,0.00578823719022104,0.0322887640707525,0.179613711128406,0.857455839821434,NA,"WT_vs_DEL","X"
"chr1_203403",201.445466366621,0.0610514540498822,0.0805170153443652,0.758453337833176,0.448179637368027,0.744647654386561,"WT_vs_DEL","YAR050W"
"chr1_207788",8.72302381224852,-0.00716677353833612,0.040085280797989,-0.178507348792927,0.858324550382623,NA,"WT_vs_DEL","X"
"chr1_21566",3.62136446134995,0.00909460046347485,0.0270957050360651,0.336412375875776,0.736559918193374,NA,"WT_vs_DEL","YAL064W"
"chr1_221049",7.92158920715827,0.00370949134202611,0.0193319449950033,0.193151868516007,0.846840032198987,NA,"WT_vs_DEL","YAR066W"
"chr1_222406",233.882272918208,-0.0929426001974233,0.08011191180839,-1.16043561606105,0.245871492978907,0.577726947375293,"WT_vs_DEL","YAR068W"
"chr1_22395",22.4826056359395,0.0992894060101189,0.0592591918855866,1.68362866218248,0.0922534558891803,NA,"WT_vs_DEL","YAL063C-A"
"chr1_225460",275.279571126741,0.021802591139382,0.0701182902372515,0.310926752989583,0.755856305860442,0.912511293307547,"WT_vs_DEL","YAR071W"
"chr1_227742",5.46425049121809,-4.5897150731537e-05,0.0321800281809224,-0.00142747315819877,0.998861041592918,NA,"WT_vs_DEL","YAR073W"
"chr1_24000",154.105962364798,-0.0617893392953918,0.0816161614612402,-0.757553070605094,0.448718583617649,0.744647654386561,"WT_vs_DEL","YAL063C"
"chr1_31214",9.88473972531835,-0.0100218147478359,0.038255456995995,-0.260770747835661,0.794269303977421,NA,"WT_vs_DEL","X"
"chr1_31353",16.4018447435644,-0.0193209361253615,0.051958134801063,-0.372441648850535,0.70956404937737,NA,"WT_vs_DEL","X"
"chr1_31567",12018.6861037166,-0.187146964771447,0.0417810725640881,-4.47925851149965,7.4902776312592e-06,0.000213135849997481,"WT_vs_DEL","YAL062W"
"chr1_32361",8.18973830589013,-0.0209312997259424,0.0388016418677697,-0.537546523834228,0.590890157573166,NA,"WT_vs_DEL","X"
"chr1_33448",2424.7111416214,-0.000226478440622367,0.0447543834933689,-0.00506055577068283,0.99596227791532,0.997539831681817,"WT_vs_DEL","YAL061W"
"chr1_33632",5.29552970142971,-0.00428246668715508,0.0318900490678196,-0.134258088336729,0.893198493784629,NA,"WT_vs_DEL","X"
"chr1_34031",5.13164890083171,-0.0208515850000658,0.031912993571067,-0.652635131947275,0.513991530932423,NA,"WT_vs_DEL","X"
"chr1_34105",14.8182247902716,-0.0422168018840787,0.0498367504231164,-0.847046592847288,0.396969151723228,NA,"WT_vs_DEL","X"
"chr1_35155",4025.74962454254,-0.147481760791862,0.0403687213994181,-3.65342154679208,0.000258768877898978,0.00473522084927037,"WT_vs_DEL","YAL060W"
"chr1_36509",80.0116572254451,-0.0573389657489185,0.0783733525008776,-0.731196626959975,0.464659060158086,0.754104123644776,"WT_vs_DEL","YAL059W"
"chr1_37464",240.886634432291,-0.0838363028695729,0.0792211629582796,-1.05798533278761,0.290062129293703,0.622815983412097,"WT_vs_DEL","YAL058W"
"chr1_39259",1793.66903150715,-0.0522169338429273,0.0488238983568925,-1.0694808410479,0.284853057379394,0.62117272034586,"WT_vs_DEL","YAL056W"
"chr1_42177",190.071337441614,-0.00270716476108516,0.0809881760457019,-0.0334444108308394,0.973320194733227,0.990248428130576,"WT_vs_DEL","YAL055W"
"chr1_42816",3.63458250055122,0.0169187043079308,0.0265011905566772,0.640183734971584,0.522053155797533,NA,"WT_vs_DEL","X"
"chr1_42881",86783.5781296658,0.0249544343539371,0.0289599508373083,0.861687528550748,0.388859490303488,0.699652026341179,"WT_vs_DEL","YAL054C"
"chr1_45899",1882.94000670083,-0.118991551115747,0.0482793953944471,-2.46464083969889,0.0137150651041466,0.0995566779434927,"WT_vs_DEL","YAL053W"
"chr1_48564",1010.7552216288,-0.0308700019736721,0.0583758286974223,-0.528818991748346,0.5969310218002,0.837435766464172,"WT_vs_DEL","YAL051W"
"chr1_51855",826.973360616426,-0.183058755421979,0.060849986915972,-3.00861412782925,0.00262442210007297,0.0302953066359336,"WT_vs_DEL","YAL049C"
"chr1_52801",575.67077276775,-0.00308598495178603,0.0647302802790799,-0.0476734305750088,0.961976509348255,0.987841713065785,"WT_vs_DEL","YAL048C"
"chr1_5379",15.4177943823196,0.00403029004530314,0.050449092623252,0.0799620947147874,0.936267403433322,NA,"WT_vs_DEL","X"
"chr1_54989",402.068673847037,-0.0242688357785941,0.0734759666372088,-0.330229144412202,0.741226826838426,0.906386306733451,"WT_vs_DEL","YAL047C"
"chr1_57029",144.376046673009,-0.0697521302043104,0.0817199296227006,-0.853692469551748,0.393275407693166,0.70311332002851,"WT_vs_DEL","YAL046C"
"chr1_57138",1.58093231156383,0.0271371239358773,0.0181776818611284,1.67629553737416,0.0936803186077715,NA,"WT_vs_DEL","X"
"chr1_57518",583.13351316613,-0.213776172757108,0.0665163962340249,-3.21397535375661,0.00130910909545096,0.0178948260426367,"WT_vs_DEL","YAL044W-A"
"chr1_57950",835.432732491217,-0.0839745990475329,0.0654781843813709,-1.28261016373801,0.199628687562234,0.521798036112556,"WT_vs_DEL","X"
"chr1_5862",7.45787856575681,0.012251466978677,0.0383745363700877,0.320220652816318,0.748801068153762,NA,"WT_vs_DEL","X"
"chr1_58695",1217.52452159136,-0.187202384962228,0.05397251349239,-3.46865593465696,0.000523068874174404,0.00846092092107474,"WT_vs_DEL","YAL043C"
"chr1_61231",6.44809729196172,-0.0249715374980419,0.0346526090298886,-0.724271271036022,0.468899210831405,NA,"WT_vs_DEL","YAL042C-A"
"chr1_61316",1176.10470554933,0.110174471425863,0.0591855853439658,1.86114283182242,0.0627240089776298,0.278441759041881,"WT_vs_DEL","YAL042W"
"chr1_62840",660.914106234429,0.0800471070645192,0.064819675211031,1.23477838989879,0.216912992114468,0.546192349571833,"WT_vs_DEL","YAL041W"
"chr1_65778",1603.93223688382,-0.21054826006622,0.0520829487919298,-4.04276780984196,5.28239242675085e-05,0.00124738984649955,"WT_vs_DEL","YAL040C"
"chr1_67378",4.0526509543502,0.0320757494649072,0.0283641507362155,1.15516845387789,0.248021450312759,NA,"WT_vs_DEL","X"
"chr1_67849",3.14791406473016,-0.00299044294106395,0.0253475334540501,-0.117947194563611,0.906109498347323,NA,"WT_vs_DEL","X"
"chr1_68716",670.447985017115,0.0967092931267612,0.0634419383331819,1.52425684737735,0.127444562289986,0.418397919887753,"WT_vs_DEL","YAL039C"
"chr1_69047",17.2735371054787,-0.0616493403554503,0.0510149301850574,-1.21093438955306,0.225920551302392,NA,"WT_vs_DEL","X"
"chr1_70040",4.55387883238076,0.0290828668268938,0.0298882277665145,0.981050363379165,0.326567906207985,NA,"WT_vs_DEL","X"
"chr1_70657",3.60737498409629,0.00103662445853017,0.0272507872804126,0.0379723306915513,0.969709743021355,NA,"WT_vs_DEL","X"
"chr1_71201",1.70609110816497,-0.0034071410724198,0.0181527542719553,-0.188767945175112,0.850274696170994,NA,"WT_vs_DEL","X"
"chr1_71786",34439.5470343495,0.0477523521456755,0.0330197021631166,1.44617720756039,0.148127504832531,0.44863950505691,"WT_vs_DEL","YAL038W"
"chr1_7235",103.720863965176,-0.00841419774167134,0.0811034673968717,-0.103735435230089,0.91737930509749,0.974371281678134,"WT_vs_DEL","YAL067C"
"chr1_74020",39.1250261653652,0.0797466519154898,0.0700235702929865,1.13879150127241,0.25479012737958,0.589914814856464,"WT_vs_DEL","YAL037W"
"chr1_75043",318.880088638858,-0.139281259322874,0.0748905688107291,-1.85971331441386,0.0629260972793396,0.279121137659175,"WT_vs_DEL","YAL036C"
"chr1_76427",3266.34217303596,0.0253953275414745,0.0472081336476202,0.537935950918174,0.590621267548111,0.833835806483765,"WT_vs_DEL","YAL035W"
"chr1_79718",118.733293263569,0.0871442980641405,0.0817807014988655,1.06490725925298,0.286917899685819,0.621801129897941,"WT_vs_DEL","YAL034W-A"
"chr1_80710",2714.68466217603,-0.15772927191242,0.0478825610700595,-3.29416369353256,0.000987149925883723,0.0142948351862704,"WT_vs_DEL","X"
"chr1_8152",1.66909411832843,0.00374662505150062,0.0183693207725173,0.205637891903691,0.837073776572998,NA,"WT_vs_DEL","X"
"chr1_82706",74.3677465525847,0.0875703196902786,0.0772982427042354,1.1324337143389,0.257452137410078,0.592429251159491,"WT_vs_DEL","YAL033W"
"chr1_83335",401.572674820059,-0.108005914724059,0.0713582244441765,-1.51359515518072,0.130128550666442,0.421732108110891,"WT_vs_DEL","YAL032C"
"chr1_84749",812.611541755695,0.00519917279790804,0.0588476550122511,0.0883518592678239,0.929597022336976,0.978542604423906,"WT_vs_DEL","YAL031C"
"chr1_87286",355.615702712849,0.0194215123585624,0.0749290039049953,0.259207007796929,0.795475524404217,0.92760693381199,"WT_vs_DEL","X"
"chr1_87855",1837.08662180278,0.0811533298720702,0.0488751233739682,1.66034324597449,0.0968454204713975,0.365607491107347,"WT_vs_DEL","YAL029C"
"chr1_92900",618.82042153545,-0.00681680499407559,0.0641119464543697,-0.10632658536403,0.915323239076552,0.973664402539188,"WT_vs_DEL","YAL028W"
"chr1_94687",206.327850110088,-0.0304622755105824,0.0802045525984474,-0.37988242747169,0.704032692101096,0.891555418501855,"WT_vs_DEL","YAL027W"
"chr1_95531",1.59203893570523,0.012243167787624,0.0188321269472178,0.658231909591114,0.510389123460382,NA,"WT_vs_DEL","X"
"chr1_95630",1101.33336246077,0.0966647418644098,0.0547324267510575,1.76599798739635,0.077396186520014,0.318713239859189,"WT_vs_DEL","YAL026C"
"chr10_101150",113.330981921667,0.12857847655046,0.081342027224839,1.58008902771743,0.114086479707404,0.396377384624443,"WT_vs_DEL","X"
"chr10_102227",320.184049801926,0.0381898711147136,0.076224864059673,0.500969535241827,0.616392563519161,0.847111827816359,"WT_vs_DEL","YJL168C"
"chr10_104911",2.42450964955997,-0.00046547850747376,0.0224520254641989,-0.0206101846572767,0.983556616010888,NA,"WT_vs_DEL","X"
"chr10_105014",1766.13962574373,0.00401194656841671,0.0490246107562993,0.0818375147582391,0.934775923650325,0.979707142079926,"WT_vs_DEL","YJL167W"
"chr10_106434",4319.39137246418,-0.0957491618953539,0.0376530277584691,-2.5429614762265,0.0109917347132573,0.0852233818162767,"WT_vs_DEL","YJL166W"
"chr10_106611",3.70432436503004,0.0157361544329338,0.0269541867879077,0.591848816584852,0.553951830543318,NA,"WT_vs_DEL","X"
"chr10_106894",1182.97073902276,-0.042765615412615,0.0564108422043912,-0.758136597925242,0.448369212225701,0.744647654386561,"WT_vs_DEL","YJL165C"
"chr10_109811",14.3384662583154,0.0731810345271299,0.0503313547600632,1.4635746912122,0.143310191881142,NA,"WT_vs_DEL","X"
"chr10_109966",1303.77683285093,0.0205054358127001,0.057658853774486,0.35562994688078,0.722117713567781,0.89955183690646,"WT_vs_DEL","YJL164C"
"chr10_111638",1.91477925767519,0.0107313355443085,0.0196463949218647,0.550103621398876,0.582248302958074,NA,"WT_vs_DEL","X"
"chr10_111666",856.834283090753,0.0705708176894688,0.06507724839571,1.08437371711132,0.278199132262463,0.61430620923932,"WT_vs_DEL","YJL163C"
"chr10_111721",7.98745165789281,0.0476545649008144,0.0386555468313038,1.24506556857853,0.213107649269149,NA,"WT_vs_DEL","X"
"chr10_113878",183.961407528157,0.0167959429698598,0.0809113845322672,0.207556337194746,0.835575399710648,0.943191294629761,"WT_vs_DEL","YJL162C"
"chr10_11475",427.011975640231,0.00786337818868312,0.0778739927380407,0.101000016060176,0.919550447428253,0.975426206209541,"WT_vs_DEL","YJL222W"
"chr10_116106",3.87447154532749,0.0372045617959195,0.0278737756324831,1.36891683277218,0.171025273399557,NA,"WT_vs_DEL","X"
"chr10_117245",376.079319837867,0.00798576356176166,0.075774644841771,0.105368265757481,0.916083596115938,0.974109070533595,"WT_vs_DEL","YJL161W"
"chr10_117962",80.5434772448855,0.121672415403238,0.0794851032112263,1.52976680978248,0.126074459769074,0.415695104603592,"WT_vs_DEL","YJL160C"
"chr10_118798",2.63512020109836,-0.00422349705958497,0.0234593885267204,-0.179624315302672,0.85744751430661,NA,"WT_vs_DEL","X"
"chr10_120190",1.88835686174724,0.0177465701854297,0.0198508080904875,0.916486593826933,0.359411735747639,NA,"WT_vs_DEL","X"
"chr10_120449",39117.7321091534,-0.140540403601346,0.0287317363650657,-4.89147309177183,1.00084077983707e-06,3.58225464028476e-05,"WT_vs_DEL","YJL159W"
"chr10_122265",3725.13749568285,-0.14445854011843,0.0746608696893992,-1.9349053687296,0.0530019092696071,0.249774856848213,"WT_vs_DEL","YJL158C"
"chr10_123836",511.414193987652,-0.0217900335637957,0.0688465886896616,-0.316466912127327,0.751648135882959,0.910679645870091,"WT_vs_DEL","YJL157C"
"chr10_126604",2.81067899107606,-0.00211972076914745,0.0246505574450348,-0.0859434338338996,0.931511384012604,NA,"WT_vs_DEL","YJL156W-A"
"chr10_126853",630.53502483604,-0.0508727112570592,0.0643337145991929,-0.790779097426821,0.429072909580965,0.733028166006781,"WT_vs_DEL","YJL156C"
"chr10_129285",1673.43017383676,-0.0777608304953509,0.0483772775523379,-1.60744926151852,0.10795585118692,0.385189184391701,"WT_vs_DEL","YJL155C"
"chr10_131101",2017.74897191257,-0.0155896711004223,0.0463242020595947,-0.33653652753743,0.736466311207643,0.904802491119973,"WT_vs_DEL","YJL154C"
"chr10_134332",1907.98175289147,-0.131944755166615,0.0501589509323491,-2.76102940893442,0.005761948766226,0.0542901497162122,"WT_vs_DEL","X"
"chr10_136372",2601.81118287648,0.0851450018838806,0.0458115760807125,1.85851744264205,0.0630955687355897,0.279271728914284,"WT_vs_DEL","YJL151C"
"chr10_136848",16.6326802062236,0.0689241765735061,0.0519663565759058,1.33445024811028,0.18205634164363,NA,"WT_vs_DEL","X"
"chr10_137379",607.884690403566,-0.0502422083975849,0.0654152164401965,-0.768072102918879,0.442444349553397,0.742101619012196,"WT_vs_DEL","YJL149W"
"chr10_139971",4.29438845646121,0.0155904526079258,0.0280093189560437,0.556782544467239,0.577676011500783,NA,"WT_vs_DEL","X"
"chr10_140437",141.430710180248,-0.0613041330429343,0.0817835874168726,-0.749323570279369,0.453662204699035,0.746614114211165,"WT_vs_DEL","YJL148W"
"chr10_141218",31.7317114493588,-0.013157052096501,0.0640145463105397,-0.205632523204599,0.837077970557983,NA,"WT_vs_DEL","X"
"chr10_141419",187.563338197789,-0.0100894533434568,0.0809711745411672,-0.124554597062682,0.900876174681201,0.967519590509665,"WT_vs_DEL","YJL147C"
"chr10_143292",443.519855021053,-0.0613281576955816,0.0726431558548848,-0.844317031360662,0.398492271420573,0.70802982099734,"WT_vs_DEL","YJL146W"
"chr10_145160",186.61883923233,0.0755426889315587,0.0808075042963637,0.934996521944889,0.349790091854282,0.668903028475375,"WT_vs_DEL","YJL145W"
"chr10_146359",333.866819205478,0.174061849449923,0.0755753063130118,2.30230966163233,0.0213177153568946,0.135693177653861,"WT_vs_DEL","YJL144W"
"chr10_147101",243.923114756348,0.0958424116123809,0.0782714214736319,1.22380993852291,0.221023934256612,0.550496937674671,"WT_vs_DEL","YJL143W"
"chr10_147736",6.74569964825893,0.0203833544664602,0.0365056681008043,0.560936497651656,0.574840828101519,NA,"WT_vs_DEL","X"
"chr10_147967",4610.7878601336,-0.122216208914051,0.0383997689460013,-3.1827472117631,0.0014588491964649,0.0193076994815855,"WT_vs_DEL","YJL141C"
"chr10_150961",645.375056723247,0.231055237721586,0.0676414395669994,3.41391074778845,0.000640375501017758,0.00987636036935517,"WT_vs_DEL","YJL140W"
"chr10_151713",197.635968280677,0.0364575859765467,0.0802224603854861,0.454290075005864,0.649620058641965,0.865910672749736,"WT_vs_DEL","YJL139C"
"chr10_153504",3432.33689907211,-0.112585928761911,0.0427718175063763,-2.63224431208796,0.00848228425725048,0.0709505466891017,"WT_vs_DEL","YJL138C"
"chr10_154985",1387.9547214547,-0.224304725630596,0.0541940898728856,-4.13895857028112,3.48885940014726e-05,0.000848508497702482,"WT_vs_DEL","YJL137C"
"chr10_157877",1.89589700850806,0.00362720160360632,0.0197161661632529,0.182610617896156,0.855103552562071,NA,"WT_vs_DEL","YJL135W"
"chr10_158188",243.158860810322,0.135635150297014,0.07824665280183,1.73279402130032,0.0831322858945955,0.33270452814778,"WT_vs_DEL","YJL134W"
"chr10_159479",198.386036342555,0.0104342228818955,0.0816478041576761,0.127759519344451,0.898339286344995,0.965888698014239,"WT_vs_DEL","X"
"chr10_159623",718.254518344225,0.0542981586097787,0.0653111259257353,0.831355072439029,0.405773071570728,0.715382450529434,"WT_vs_DEL","YJL133C-A"
"chr10_160619",158.970263502641,-0.0549146303628287,0.0815866238269943,-0.673302472064016,0.50075488039033,0.778309586261874,"WT_vs_DEL","YJL133W"
"chr10_161914",368.742354268975,0.130905459424956,0.0733296235818658,1.78453051841091,0.0743375003304472,0.311527772003369,"WT_vs_DEL","YJL132W"
