"ORF","sample1","sample2","sample3","sample4","sample5","sample6"
"chr1_61316",1269.973,1237.957,1539.956,869.973,1007.919,1242
"chr1_6141",0,0,0,0,0,0
"chr1_61725",0,0,0,0,0,0
"chr1_6187",0,0,0,0,0,0
"chr1_62356",0,1,0,1,0,0
"chr1_62595",0,0,0,0,0,0
"chr1_62806",0,2,2,2,2,0
"chr1_62840",725,650,878,563,603,595
"chr1_6323",0,0,0,0,0,0
"chr1_65634",0,0,0,0,0,0
"chr1_65715",0,0,0,0,0,0
"chr1_65778",1556,1550,1720,1464,1671,1658
"chr1_67174",0,0,0,0,0,0
"chr1_67378",3,8,7,3,3,1
"chr1_67849",5,1,4,3,4,2
"chr1_68246",0,0,0,0,0,0
"chr1_68266",2,0,0,2,1,0
"chr1_68304",0,0,0,0,0,0
"chr1_6869",0,0,0,0,0,0
"chr1_68716",724.951,725.868,839.956,577.877,568,628
"chr1_69047",7.049,18.132,21.044,21.123,13,23
"chr1_69952",0,1,0,0,0,0
"chr1_70040",3,5,12,2,4,3
"chr1_70067",0,0,0,0,0,0
"chr1_70267",0,0,0,3,1,2
"chr1_70339",0,0,0,0,0,0
"chr1_70528",0,0,0,0,0,0
"chr1_70557",1,0,0,1,1,0
"chr1_70657",4,4,4,1,5,4
"chr1_71201",4,0,1,3,1,1
"chr1_71326",0,0,0,0,0,0
"chr1_71415",0,0,0,0,1,0
"chr1_71457",1,1,2,1,0,2
"chr1_7164",0,1,3,0,2,0
"chr1_71644",0,0,0,0,0,0
"chr1_71786",36276,36088,42754,28684,31929,32893
"chr1_7235",96,112,131,79,112,98
"chr1_73357",0,0,0,0,0,0
"chr1_73426",0,0,0,0,0,0
"chr1_73442",0,0,0,0,0,0
"chr1_73523",0,0,0,0,0,0
"chr1_73609",0,0,0,0,0,0
"chr1_73686",2,0,0,0,0,0
"chr1_73828",0,0,0,0,0,0
"chr1_73912",0,0,0,0,0,0
"chr1_74020",40,45,59,28,33,35
"chr1_74249",0,0,0,0,0,0
"chr1_74580",0,2,0,0,1,1
"chr1_75043",302,308,367,268,318,359
"chr1_76427",3643,3218,3980,2748,2790,3419
"chr1_79489",0,0,0,0,0,0
"chr1_79718",132,128,155,87,101,121
"chr1_79885",0,0,0,0,0,0
"chr1_80606",0,0,0,0,0,0
"chr1_80657",0,0,0,0,0,0
"chr1_80710",2696,2506,3194,2498,2772,2670
"chr1_8152",3,1,2,3,0,1
"chr1_82353",0,0,0,0,0,0
"chr1_82430",0,0,0,0,0,0
"chr1_82706",89,65,115,53,78,56
"chr1_8307",0,0,0,0,0,0
"chr1_83335",421,359,476,358,380,429
"chr1_83885",0,0,0,0,0,0
"chr1_84031",0,0,0,0,0,0
"chr1_84606",0,0,0,0,0,0
"chr1_84669",1,1,0,4,2.024,0
"chr1_84749",865,833,976,695,736.976,809
"chr1_86735",0,0,0,0,0,0
"chr1_87113",0,0,0,0,0,0
"chr1_87286",397,334,450.998,309,347.998,314
"chr1_87497",0,0,1.002,0,1.002,0
"chr1_87855",1969,1894,2371,1501,1715,1701
"chr1_9059",0,0,0,0,0,0
"chr1_9126",0,0,0,0,0,0
"chr1_92392",0,0,0,0,0,0
"chr1_92639",0,0,0,0,0,0
"chr1_92900",660,598,773,545,553,617
"chr1_9311",0,1,0,0,0,1
"chr1_93988",0,0,0,0,0,0
"chr1_94165",0,0,0,0,0,0
"chr1_94687",190,229,246,177,199,204
"chr1_94770",0,0,0,0,0,0
"chr1_9485",0,1,2,0,0,1
"chr1_95423",1,0,1,0,0,2
"chr1_9546",0,0,0,0,0,0
"chr1_95531",3,1,3,1,1,1
"chr1_95630",1216,1176,1362,916,940,1071
"chr1_9637",0,0,0,0,0,0
"chr1_9690",0,0,0,0,0,0
"chr1_9908",0,0,0,0,0,0
"chr1_99406",0,0,0,0,0,0
"chr10_101150",146,127,135,71,108,104
"chr10_101187",0,0,0,0,0,0
"chr10_101430",0,0,0,0,0,0
"chr10_101791",0,0,0,0,0,0
"chr10_102025",0,0,0,0,0,0
"chr10_102099",1,2,0,0,0,2
"chr10_102227",336,329,409,287,249,332
"chr10_104479",0,0,0,0,0,0
"chr10_104743",0,0,0,0,0,0
"chr10_104892",0,0,0,0,0,0
"chr10_104911",3,2,3,1,1,5
"chr10_104937",0,0,0,0,0,0
"chr10_105014",1914,1784,2109,1558,1568,1743
"chr10_106121",0,0,0,0,0,0
"chr10_106434",4419,4139,5151,3812,4132,4414
"chr10_106611",5,7,2,4,2,2
"chr10_106894",1164,1184,1479,1044,1148,1129
"chr10_109567",0,0,0,0,0,0
"chr10_109695",0,0,1,0,1,0
"chr10_109739",0,0,0,0,0,0
"chr10_109811",18,21,19,10,9,11
"chr10_109913",0,0,0,0,0,0
"chr10_109966",1342,1279,1714,1135,1245,1186
"chr10_110250",0,0,0,0,0,0
"chr10_110983",0,0,0,0,0,0
"chr10_111638",4,1,3,0,3,1
"chr10_111666",901.645,953.657,1038.756,646.951,856.92,793.95
"chr10_111721",11.355,14.343,8.23,3.049,6.08,7.05
"chr10_112822",0,0,0,0,0,1
"chr10_113115",0,0,1.015,0,1,0
"chr10_113878",209,164,240,165,159,179
"chr10_114709",0,0,0,0,0,0
"chr10_11475",453.04,463.152,486.975,421.191,304.801,446.058
"chr10_115533",0,0,0,0,0,0
"chr10_115617",0,0,0,0,0,0
"chr10_115719",0,0,0,0,0,0
"chr10_116081",0,0,0,0,0,0
"chr10_116106",6,7,5,1,4,1
"chr10_116276",0,0,0,0,0,0
"chr10_116338",0,0,0,0,0,0
"chr10_116509",0,0,0,0,0,0
"chr10_116524",3,2,0,2,0,0
"chr10_116597",0,0,0,0,0,0
"chr10_116679",0,0,0,0,0,0
"chr10_116731",0,0,0,0,0,0
"chr10_116745",0,0,0,0,0,0
"chr10_116851",0,0,0,0,0,0
"chr10_116886",2,0,0,0,0,0
"chr10_116968",0,1,1,0,0,0
"chr10_116999",0,2,2,2,0,3
"chr10_117171",0,0,0,0,0,0
"chr10_117245",425,351,468,274,393,372
"chr10_117545",0,0,0,0,0,0
"chr10_117601",0,0,0,0,0,0
"chr10_117631",0,0,0,0,0,0
"chr10_117951",0,0,0,0,0,0
"chr10_117962",88,97,109,58,57,84
"chr10_118798",3,3,2,1,2,5
"chr10_119734",0,0,0,0,2,1
"chr10_120190",2,2,5,2,0,1
"chr10_120361",0,0,0,0,0,0
"chr10_120449",39104,37495,45543,34505,37658,41496
"chr10_121991",1,0,0,0,1,0
"chr10_122068",0,0,0,0,0,0
"chr10_122118",0,0,0,0,0,0
"chr10_122265",3631,3429,4334,3420,3182,4463
"chr10_123413",0,0,0,0,0,0
"chr10_123478",0,0,0,0,0,0
"chr10_123836",529,496,644,430,441,561
"chr10_123863",0,0,0,0,0,0
"chr10_124062",0,0,0,0,0,0
"chr10_124154",0,0,0,0,0,0
"chr10_125165",0,0,0,0,0,0
"chr10_126604",2,3,4,3,2,3
"chr10_126853",677,611,739,514,619,651
"chr10_128809",1,0,0,1,0,0
"chr10_129285",1693,1645,1999,1503,1578,1678
"chr10_129902",0,0,0,0,0,0
"chr10_131009",0,0,0,0,0,0
"chr10_131101",2189,2006,2393,1689,1866,2061
"chr10_133979",0,0,0,0,0,0
"chr10_134229",0,0,0,0,0,0
"chr10_134332",1048,967,1619,2506,1169,3937
"chr10_134729",0,0,0,0,0,0
"chr10_136061",0,0,0,0,0,0
"chr10_136372",2721,2831,3271,2062,2346,2562
"chr10_136449",0,0,1,0,1,0
"chr10_136586",1,1,0,0,0,1
"chr10_136741",0,0,0,0,0,0
"chr10_136825",0,0,0,0,0,0
"chr10_136848",18,23,25,11,17,8
"chr10_137007",0,0,0,0,0,0
"chr10_137011",0,0,0,0,0,0
"chr10_137123",0,0,0,1,0,3
"chr10_137379",608,580,772,548,573,594
"chr10_139074",0,0,0,0,0,0
"chr10_139485",0,0,0,0,0,0
"chr10_139971",9,1,7,2,2,6
"chr10_140016",0,1,0,0,1,0
"chr10_140437",158,120,168,125,112,173
"chr10_141179",0,0,0,0,0,0
"chr10_141218",36,34,31,20,41,29
"chr10_141419",205,159,253,156,175,192
"chr10_142573",0,0,3,0,0,0
"chr10_142637",0,0,1,0,0,1
"chr10_142744",2,0,0,0,0,0
"chr10_143022",0,0,0,0,0,0
"chr10_143292",484,387,548,418,420,420
"chr10_143484",0,0,0,0,0,0
"chr10_143635",0,0,0,0,0,0
"chr10_143837",0,0,0,0,0,0
"chr10_144742",0,0,0,0,0,0
"chr10_144791",0,0,0,0,0,0
"chr10_144850",0,0,0,0,0,0
"chr10_145160",200,203,237,168,166,156
"chr10_145681",0,0,0,0,0,0
"chr10_145877",0,0,0,0,0,0
"chr10_146005",0,0,0,0,0,0
"chr10_146097",0,0,0,0,0,0
"chr10_146205",0,0,0,0,0,0
"chr10_146359",356,406,427,260,294,287
"chr10_146714",1,0,2,1,0,0
"chr10_147101",260,260,325,178,220,244
"chr10_147112",0,0,0,0,0,0
"chr10_147593",1,0,0,0,0,0
"chr10_147736",10,7,8,5,7,4
"chr10_147967",4662,4368,5459,3977,4559,4794
"chr10_150184",0,0,0,0,0,0
"chr10_150460",3,1,1,1,0,1
"chr10_150575",0,0,0,0,0,0
"chr10_150625",0,0,0,0,1,1
"chr10_150814",0,0,0,0,0,0
"chr10_150830",0,0,0,0,0,0
"chr10_150869",0,0,0,0,0,0
"chr10_150961",703,689,958,481,574,547
"chr10_151713",224,182,260,158,181,197
"chr10_152467",0,0,0,0,0,0
"chr10_152965",0,0,0,0,0,0
"chr10_153027",0,0,0,0,0,0
"chr10_153224",0,0,0,0,0,0
"chr10_153384",0,0,0,0,0,0
"chr10_153504",3535.407,3235.453,4046.92,2970.468,3190.698,3746.582
"chr10_154923",0,0,0,0,0,0
"chr10_154985",1445.998,1212,1497,1275,1393,1510
"chr10_155074",1.002,0,0,0,0,0
"chr10_156169",0,0,0,0,0,0
"chr10_156550",631,654,656,448,454,525
"chr10_157351",0,0,0,0,0,0
"chr10_157717",0,0,0,0,0,0
"chr10_157877",1,2,4,0,2,3
"chr10_158188",265,270,322,196,219,207
"chr10_158775",0,0,0,0,0,0
"chr10_159479",180,232,244,132,207,209
"chr10_159623",769,772,871,557,718,664
"chr10_159963",0,0,0,0,0,0
"chr10_159967",0,0,0,0,0,0
"chr10_160067",0,0,0,0,0,0
"chr10_160275",1,0,2,1,2,1
"chr10_160619",166,164,172,147,131,177
"chr10_161516",0,0,0,0,0,0
"chr10_161616",0,1,0,0,1,0
"chr10_161914",392,392,507,314,304,336
"chr10_162143",0,0,0,0,0,0
"chr10_162253",0,0,0,0,0,0
"chr10_162328",0,0,0,0,0,0
"chr10_162694",0,0,0,0,0,0
"chr10_164278",388,377,446,262,275,345
"chr10_164475",0,0,0,0,0,0
"chr10_164707",0,0,0,0,0,0
"chr10_164924",0,0,0,0,0,0
"chr10_165723",22793,21465,26242,11992,11849,15022
"chr10_165739",0,0,0,0,0,0
"chr10_172501",0,0,0,0,0,0
"chr10_172638",0,0,2,0,0,0
"chr10_172718",0,0,0,0,0,0
"chr10_172779",0,0,0,0,0,0
"chr10_172911",0,0,0,0,0,0
"chr10_172955",0,0,0,0,0,0
"chr10_173114",5,1,7,1,2,1
"chr10_173599",1410,1292,1597,1189,1229,1453
"chr10_177518",0,0,0,0,0,0
"chr10_177553",0,0,1,1,0,0
"chr10_177941",0,0,0,0,0,0
"chr10_177945",0,0,0,0,0,0
"chr10_178097",926,961,1002,871,905,978
"chr10_180656",0,0,0,0,0,0
"chr10_181079",3,6,7,6,2,4
"chr10_181446",1,2,4,0,2,0
"chr10_181551",125,132,180,115,132,139
"chr10_181580",0,0,0,0,0,0
"chr10_182298",534,497,663,459,468,470
"chr10_183982",0,0,0,0,0,0
"chr10_184268",0,0,0,0,0,0
"chr10_184435",0,0,0,0,0,0
"chr10_184501",209,212,246,147,134,163
"chr10_184665",0,0,0,0,0,0
"chr10_185528",248,225,319,204,257,263
"chr10_186730",0,0,0,0,0,0
"chr10_186771",0,0,0,0,0,0
"chr10_186830",0,0,0,0,0,0
"chr10_186904",0,0,0,0,0,0
"chr10_187099",4,2,1,5.044,1.005,1
"chr10_187126",315,286,381,235.956,283.995,325
"chr10_187295",0,0,0,0,0,0
"chr10_187828",0,0,0,1,0,0
"chr10_188004",2258,2125,2688,1918,1970,2197
"chr10_188041",0,0,0,0,0,0
"chr10_189716",93,95,122,86,86,123
"chr10_190275",1,1,0,1,2,1
"chr10_190374",1172,1217,1445,991,1028,1169
"chr10_191393",0,0,0,0,0,0
"chr10_191451",0,0,0,0,0,0
"chr10_191476",0,0,0,0,0,0
"chr10_191572",21,24,16,5,9.236,15
"chr10_191639",54,60,65,54,59.764,64
"chr10_191924",3,0,3,0,1,1
"chr10_192128",0,0,0,0,0,0
"chr10_192353",2,0,0,1,0,0
"chr10_192531",712,725,884,590,645,756
"chr10_193088",0,0,0,0,0,0
"chr10_193422",0,0,0,0,0,0
"chr10_193586",0,0,0,0,0,0
"chr10_193716",106,113,134,76,63,73
"chr10_193860",2970,2828,3133,2171,2350,2558
"chr10_194901",0,0,0,0,0,0
"chr10_19497",51.637,61.651,54.546,35.499,46.627,42.677
"chr10_195001",0,0,0,0,0,0
"chr10_195160",0,0,0,0,0,0
"chr10_195247",0,0,0,0,0,0
"chr10_195394",1,3,3,0,1,0
"chr10_195655",0,1,0,0,0,0
"chr10_195769",0,0,0,0,0,0
"chr10_195934",1,0,0,3,2,0
"chr10_196136",0,0,0,0,0,0
"chr10_196162",0,0,0,0,0,0
"chr10_196287",482,493,600,348,393,436
"chr10_197467",0,0,0,0,0,0
"chr10_197896",0,0,0,0,0,0
"chr10_197915",89.708,110.69,113.013,91.549,73.757,109.601
"chr10_204448",0,0,0,0,0,0
"chr10_204611",0,0,0,0,1,0
"chr10_204873",0,0,0,0,0,0
"chr10_204935",0,0,0,0,0,0
"chr10_205011",0,0,0,0,0,0
"chr10_205013",0,0,0,0,0,0
"chr10_205120",7,5,4,4,7,3
"chr10_205305",1033,881,1146,772,932,891
"chr10_207472",0,0,0,0,0,0
"chr10_207877",893,820,976,672,700,804
"chr10_209450",3,4,6,3,8,3
"chr10_209547",0,0,0,0,0,0
"chr10_209922",423,413,514,338,396,452
"chr10_211014",0,0,0,0,0,0
"chr10_211930",2,5,2,1,3,2
"chr10_212000",1373.834,1220,1447,1119,1193.863,1594
"chr10_212112",7.166,4,6,1,5.137,3
"chr10_21485",0,0,0,0,0,0
"chr10_217556",0,0,0,0,0,0
"chr10_217705",24,34,31,29,32,40
"chr10_217815",0,0,0,0,0,0
"chr10_218853",13,23,16,12,15,15
"chr10_219631",2,0,0,0,0,0
"chr10_21973",54,40,78,24,19,27
"chr10_220119",0,0,0,0,0,0
"chr10_220571",0,0,0,0,0,0
"chr10_220607",0,2,0,0,0,0
"chr10_220693",0,0,0,0,0,0
"chr10_220833",0,0,0,0,0,0
"chr10_221390",160,155,163,153,147,175
